nbElements: 200
index, hauteurTotale, largeurTotale, hauteurInterGondsGauche, hauteurGondSommetGauche, hauteurInterGondsDroite, hauteurGondSommetDroite, 
81, 2099, 1483, 682, 477, 660, 483, 
82, 2094, 1486, 695, 476, 667, 480, 
83, 2090, 1491, 664, 491, 691, 478, 
84, 2102, 1484, 684, 469, 665, 475, 
85, 2093, 1495, 658, 490, 691, 473, 
86, 2101, 1476, 674, 466, 673, 485, 
87, 2101, 1474, 675, 491, 669, 479, 
88, 2100, 1469, 672, 496, 701, 479, 
89, 2100, 1469, 682, 475, 660, 497, 
90, 2103, 1482, 683, 480, 674, 481, 
91, 2104, 1468, 682, 470, 668, 480, 
92, 2105, 1462, 665, 493, 691, 484, 
93, 2088, 1476, 694, 479, 659, 481, 
94, 2098, 1471, 696, 473, 661, 485, 
95, 2110, 1477, 668, 468, 692, 468, 
96, 2099, 1466, 669, 487, 681, 463, 
97, 2100, 1483, 676, 489, 679, 475, 
98, 2105, 1458, 692, 476, 663, 475, 
99, 2093, 1492, 656, 501, 683, 483, 
100, 2103, 1490, 670, 476, 682, 484, 
101, 2107, 1490, 671, 479, 658, 481, 
102, 2093, 1469, 684, 470, 672, 490, 
103, 2095, 1483, 680, 486, 680, 472, 
104, 2104, 1470, 688, 479, 666, 470, 
105, 2089, 1476, 654, 491, 689, 477, 
106, 2097, 1483, 661, 481, 674, 471, 
107, 2106, 1466, 688, 472, 654, 481, 
108, 2096, 1464, 686, 474, 654, 485, 
109, 2106, 1484, 681, 478, 667, 491, 
110, 2104, 1468, 693, 483, 655, 496, 
111, 2105, 1484, 675, 478, 689, 468, 
112, 2100, 1488, 661, 485, 690, 479, 
113, 2094, 1497, 652, 493, 690, 471, 
114, 2090, 1466, 684, 478, 654, 504, 
115, 2100, 1479, 680, 467, 658, 501, 
116, 2103, 1472, 681, 471, 668, 492, 
117, 2101, 1484, 678, 485, 677, 486, 
118, 2111, 1465, 677, 475, 699, 471, 
119, 2096, 1466, 666, 488, 691, 468, 
120, 2086, 1488, 677, 469, 678, 468, 
121, 2097, 1468, 677, 466, 665, 493, 
122, 2100, 1478, 667, 481, 685, 469, 
123, 2101, 1474, 652, 489, 689, 477, 
124, 2103, 1474, 672, 481, 660, 491, 
125, 2091, 1477, 685, 475, 668, 500, 
126, 2107, 1466, 673, 472, 673, 480, 
127, 2098, 1459, 659, 474, 683, 484, 
128, 2094, 1469, 688, 474, 657, 475, 
129, 2109, 1480, 675, 472, 682, 480, 
130, 2099, 1474, 656, 488, 687, 467, 
131, 2109, 1475, 665, 495, 680, 483, 
132, 2089, 1483, 695, 481, 655, 493, 
133, 2104, 1492, 656, 490, 688, 475, 
134, 2096, 1460, 670, 477, 680, 484, 
135, 2101, 1496, 666, 479, 697, 483, 
136, 2103, 1489, 657, 499, 701, 470, 
137, 2105, 1476, 654, 484, 690, 464, 
138, 2103, 1485, 666, 489, 675, 467, 
139, 2101, 1464, 676, 474, 660, 481, 
140, 2107, 1486, 660, 478, 693, 467, 
141, 2102, 1464, 667, 470, 664, 476, 
142, 2101, 1477, 663, 481, 681, 466, 
143, 2101, 1464, 677, 481, 673, 479, 
144, 2093, 1485, 666, 494, 689, 474, 
145, 2108, 1481, 665, 498, 678, 472, 
146, 2104, 1465, 660, 481, 679, 476, 
147, 2098, 1495, 699, 482, 658, 485, 
148, 2103, 1479, 675, 487, 691, 470, 
149, 2109, 1470, 667, 476, 688, 472, 
150, 2111, 1480, 697, 479, 670, 478, 
151, 2102, 1481, 661, 493, 681, 469, 
152, 2095, 1486, 680, 476, 669, 487, 
153, 2105, 1474, 694, 475, 659, 487, 
154, 2096, 1479, 665, 504, 671, 469, 
155, 2098, 1487, 661, 493, 669, 479, 
156, 2105, 1462, 692, 483, 665, 493, 
157, 2110, 1485, 651, 486, 697, 483, 
158, 2105, 1493, 686, 477, 678, 474, 
159, 2098, 1479, 691, 485, 671, 487, 
160, 2105, 1485, 669, 469, 668, 497, 
161, 2103, 1489, 692, 474, 679, 472, 
162, 2104, 1479, 660, 498, 673, 468, 
163, 2098, 1469, 695, 468, 660, 493, 
164, 2101, 1493, 652, 496, 677, 480, 
165, 2095, 1475, 664, 499, 674, 482, 
166, 2092, 1471, 667, 486, 684, 483, 
167, 2099, 1490, 668, 474, 670, 476, 
168, 2095, 1470, 665, 504, 695, 469, 
169, 2106, 1470, 669, 474, 690, 465, 
170, 2105, 1489, 687, 465, 670, 467, 
171, 2103, 1485, 654, 494, 684, 463, 
172, 2109, 1481, 683, 480, 679, 473, 
173, 2086, 1472, 698, 479, 651, 497, 
174, 2095, 1483, 672, 475, 692, 481, 
175, 2103, 1474, 662, 492, 691, 485, 
176, 2104, 1473, 694, 476, 670, 488, 
177, 2111, 1489, 667, 476, 684, 471, 
178, 2091, 1478, 694, 481, 648, 497, 
179, 2102, 1464, 678, 482, 654, 500, 
180, 2098, 1495, 682, 476, 694, 471, 
181, 2107, 1470, 684, 469, 665, 486, 
182, 2098, 1454, 651, 491, 691, 479, 
183, 2102, 1472, 664, 504, 680, 475, 
184, 2091, 1476, 698, 470, 655, 496, 
185, 2093, 1458, 655, 486, 684, 484, 
186, 2100, 1479, 684, 477, 665, 488, 
187, 2102, 1487, 668, 483, 674, 466, 
188, 2086, 1489, 692, 482, 670, 486, 
189, 2100, 1483, 674, 470, 698, 464, 
190, 2099, 1475, 663, 497, 691, 474, 
191, 2104, 1478, 677, 474, 685, 486, 
192, 2099, 1481, 671, 484, 675, 481, 
193, 2091, 1467, 658, 480, 675, 474, 
194, 2091, 1479, 667, 488, 705, 487, 
195, 2101, 1476, 681, 483, 665, 488, 
196, 2107, 1488, 673, 474, 691, 477, 
197, 2097, 1460, 673, 470, 678, 489, 
198, 2095, 1476, 655, 490, 674, 484, 
199, 2104, 1481, 657, 485, 689, 483, 
