nbElements: 200
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
146, 2093, 484, 684, 732, 
147, 2090, 465, 678, 731, 
148, 2091, 473, 676, 750, 
149, 2107, 480, 675, 741, 
150, 2091, 484, 674, 732, 
151, 2101, 468, 677, 745, 
152, 2097, 470, 665, 748, 
153, 2096, 481, 672, 750, 
154, 2110, 467, 675, 743, 
155, 2107, 468, 681, 739, 
156, 2093, 478, 674, 739, 
157, 2103, 466, 672, 735, 
158, 2107, 466, 679, 745, 
159, 2108, 482, 678, 732, 
160, 2096, 485, 678, 733, 
161, 2107, 466, 671, 747, 
162, 2098, 465, 666, 737, 
163, 2105, 473, 675, 734, 
164, 2110, 468, 682, 749, 
165, 2100, 485, 673, 734, 
166, 2097, 471, 679, 745, 
167, 2099, 478, 681, 747, 
168, 2099, 485, 676, 736, 
169, 2109, 473, 683, 739, 
170, 2095, 483, 683, 740, 
171, 2092, 472, 666, 748, 
172, 2094, 482, 676, 749, 
173, 2102, 467, 667, 734, 
174, 2099, 478, 665, 742, 
175, 2106, 484, 677, 731, 
176, 2103, 470, 676, 737, 
177, 2105, 466, 680, 730, 
178, 2090, 481, 671, 735, 
179, 2094, 468, 683, 731, 
180, 2104, 468, 670, 744, 
181, 2097, 465, 677, 734, 
182, 2100, 479, 680, 750, 
183, 2103, 476, 666, 745, 
184, 2091, 481, 681, 746, 
185, 2099, 465, 675, 737, 
186, 2097, 469, 685, 738, 
187, 2092, 484, 676, 741, 
188, 2098, 476, 682, 739, 
189, 2109, 469, 681, 740, 
190, 2104, 474, 665, 731, 
191, 2100, 472, 666, 738, 
192, 2104, 475, 682, 745, 
193, 2092, 470, 677, 745, 
194, 2093, 478, 678, 744, 
195, 2109, 480, 673, 747, 
196, 2105, 478, 665, 739, 
197, 2090, 485, 666, 730, 
198, 2103, 485, 679, 730, 
199, 2092, 473, 677, 745, 
