nbElements: 200
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
57, 2099, 472, 682, 738, 
58, 2104, 485, 685, 744, 
59, 2106, 478, 672, 742, 
60, 2101, 465, 680, 736, 
61, 2091, 471, 680, 733, 
62, 2097, 469, 684, 746, 
63, 2095, 465, 666, 730, 
64, 2108, 484, 679, 731, 
65, 2102, 480, 669, 750, 
66, 2095, 476, 680, 736, 
67, 2104, 480, 671, 735, 
68, 2091, 478, 674, 745, 
69, 2101, 479, 668, 746, 
70, 2093, 484, 665, 731, 
71, 2109, 473, 675, 732, 
72, 2090, 476, 669, 740, 
73, 2095, 470, 675, 750, 
74, 2091, 477, 679, 745, 
75, 2102, 481, 684, 735, 
76, 2091, 465, 684, 738, 
77, 2105, 470, 670, 750, 
78, 2109, 478, 684, 740, 
79, 2093, 474, 675, 750, 
80, 2109, 471, 681, 743, 
81, 2092, 475, 668, 748, 
82, 2091, 474, 677, 738, 
83, 2104, 471, 681, 743, 
84, 2097, 472, 668, 741, 
85, 2109, 468, 680, 743, 
86, 2090, 465, 666, 730, 
87, 2095, 477, 665, 731, 
88, 2099, 479, 679, 738, 
89, 2093, 480, 685, 747, 
90, 2105, 480, 669, 750, 
91, 2105, 469, 684, 734, 
92, 2101, 480, 674, 744, 
93, 2101, 466, 676, 739, 
94, 2095, 480, 682, 749, 
95, 2093, 475, 681, 732, 
96, 2098, 484, 668, 739, 
97, 2097, 465, 676, 733, 
98, 2101, 468, 668, 750, 
99, 2090, 478, 682, 735, 
100, 2108, 478, 668, 736, 
101, 2097, 468, 665, 747, 
102, 2106, 472, 668, 740, 
103, 2093, 475, 683, 739, 
104, 2098, 471, 672, 748, 
105, 2100, 478, 680, 740, 
106, 2107, 481, 672, 743, 
107, 2101, 484, 680, 748, 
108, 2092, 470, 682, 741, 
109, 2110, 468, 685, 747, 
110, 2108, 472, 680, 749, 
111, 2107, 466, 665, 746, 
112, 2101, 485, 678, 733, 
113, 2102, 479, 670, 750, 
114, 2103, 485, 677, 731, 
115, 2109, 483, 680, 730, 
116, 2091, 482, 665, 744, 
117, 2109, 476, 665, 739, 
118, 2095, 481, 666, 749, 
119, 2104, 468, 685, 734, 
120, 2100, 485, 674, 733, 
121, 2108, 476, 677, 734, 
122, 2108, 472, 670, 730, 
123, 2099, 469, 669, 732, 
124, 2099, 478, 665, 731, 
125, 2108, 476, 677, 744, 
126, 2104, 466, 677, 745, 
127, 2092, 475, 672, 740, 
128, 2095, 484, 674, 736, 
129, 2108, 473, 682, 730, 
130, 2104, 476, 665, 741, 
131, 2093, 473, 673, 744, 
132, 2109, 468, 667, 738, 
133, 2096, 475, 665, 743, 
134, 2093, 480, 665, 730, 
135, 2105, 484, 670, 739, 
136, 2100, 470, 669, 738, 
137, 2106, 481, 675, 736, 
138, 2108, 481, 681, 737, 
139, 2096, 481, 674, 747, 
140, 2093, 472, 676, 735, 
141, 2100, 484, 685, 744, 
142, 2110, 480, 675, 744, 
143, 2110, 468, 665, 747, 
144, 2099, 465, 679, 740, 
145, 2102, 465, 668, 742, 
146, 2104, 474, 672, 737, 
147, 2095, 482, 669, 730, 
148, 2108, 468, 681, 748, 
149, 2104, 478, 666, 736, 
150, 2100, 484, 668, 741, 
151, 2105, 481, 680, 738, 
152, 2094, 479, 672, 737, 
153, 2104, 467, 666, 742, 
154, 2090, 470, 678, 733, 
155, 2104, 468, 675, 732, 
156, 2108, 465, 683, 750, 
157, 2091, 475, 668, 730, 
158, 2100, 465, 680, 742, 
159, 2097, 465, 678, 737, 
160, 2095, 478, 670, 750, 
161, 2100, 467, 685, 737, 
162, 2093, 473, 667, 731, 
163, 2100, 471, 669, 743, 
164, 2103, 473, 668, 739, 
165, 2110, 480, 684, 733, 
166, 2108, 480, 674, 741, 
167, 2110, 468, 669, 730, 
168, 2109, 478, 676, 750, 
169, 2090, 480, 681, 731, 
170, 2102, 474, 681, 735, 
171, 2093, 485, 669, 750, 
172, 2103, 473, 676, 730, 
173, 2090, 479, 676, 730, 
174, 2108, 475, 682, 738, 
175, 2094, 481, 672, 750, 
176, 2108, 477, 678, 733, 
177, 2098, 469, 681, 746, 
178, 2103, 484, 681, 744, 
179, 2098, 485, 668, 737, 
180, 2100, 469, 684, 748, 
181, 2109, 475, 672, 736, 
182, 2108, 479, 683, 730, 
183, 2102, 481, 684, 732, 
184, 2107, 477, 666, 743, 
185, 2098, 481, 670, 738, 
186, 2105, 479, 675, 741, 
187, 2104, 466, 666, 733, 
188, 2100, 474, 681, 730, 
189, 2106, 480, 666, 746, 
190, 2101, 466, 676, 743, 
191, 2110, 476, 677, 742, 
192, 2104, 473, 679, 749, 
193, 2103, 481, 665, 745, 
194, 2103, 475, 683, 738, 
195, 2109, 479, 669, 740, 
196, 2099, 477, 684, 739, 
197, 2109, 472, 675, 744, 
198, 2101, 474, 678, 737, 
199, 2101, 476, 683, 744, 
