nbElements: 200
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
73, 2105, 467, 683, 746, 
74, 2094, 465, 665, 743, 
75, 2095, 474, 670, 750, 
76, 2100, 477, 675, 742, 
77, 2106, 475, 666, 732, 
78, 2097, 474, 676, 735, 
79, 2093, 471, 683, 736, 
80, 2104, 485, 674, 735, 
81, 2090, 466, 683, 745, 
82, 2110, 473, 669, 732, 
83, 2095, 484, 668, 740, 
84, 2110, 466, 674, 745, 
85, 2093, 481, 674, 739, 
86, 2101, 481, 673, 732, 
87, 2093, 475, 674, 730, 
88, 2105, 465, 684, 750, 
89, 2092, 485, 672, 733, 
90, 2100, 476, 679, 747, 
91, 2092, 480, 673, 730, 
92, 2108, 483, 670, 737, 
93, 2102, 478, 673, 741, 
94, 2092, 469, 680, 737, 
95, 2097, 467, 678, 734, 
96, 2106, 483, 666, 744, 
97, 2107, 479, 665, 737, 
98, 2103, 469, 683, 748, 
99, 2096, 481, 677, 737, 
100, 2099, 471, 669, 745, 
101, 2104, 476, 665, 748, 
102, 2093, 469, 670, 743, 
103, 2094, 471, 679, 742, 
104, 2103, 471, 683, 733, 
105, 2097, 482, 675, 745, 
106, 2099, 481, 668, 737, 
107, 2103, 467, 665, 749, 
108, 2108, 484, 672, 744, 
109, 2102, 474, 675, 748, 
110, 2090, 465, 671, 730, 
111, 2107, 473, 674, 733, 
112, 2104, 484, 667, 749, 
113, 2103, 479, 671, 730, 
114, 2098, 481, 675, 744, 
115, 2105, 467, 672, 750, 
116, 2109, 465, 671, 744, 
117, 2097, 474, 684, 735, 
118, 2101, 485, 674, 735, 
119, 2105, 478, 680, 749, 
120, 2100, 478, 680, 732, 
121, 2107, 479, 675, 738, 
122, 2105, 475, 683, 747, 
123, 2099, 472, 684, 748, 
124, 2094, 470, 672, 734, 
125, 2099, 482, 675, 747, 
126, 2105, 482, 681, 741, 
127, 2100, 469, 672, 750, 
128, 2093, 481, 665, 735, 
129, 2102, 469, 674, 738, 
130, 2108, 480, 677, 747, 
131, 2092, 477, 675, 740, 
132, 2105, 478, 666, 744, 
133, 2099, 465, 676, 744, 
134, 2099, 472, 669, 737, 
135, 2101, 465, 685, 740, 
136, 2094, 477, 680, 750, 
137, 2104, 477, 667, 745, 
138, 2097, 468, 674, 738, 
139, 2091, 477, 674, 748, 
140, 2095, 473, 681, 737, 
141, 2090, 480, 672, 747, 
142, 2103, 467, 685, 746, 
143, 2105, 483, 679, 749, 
144, 2093, 477, 665, 742, 
145, 2109, 473, 669, 742, 
146, 2090, 473, 679, 739, 
147, 2109, 471, 673, 734, 
148, 2090, 485, 684, 739, 
149, 2092, 471, 667, 742, 
150, 2101, 465, 685, 743, 
151, 2106, 466, 676, 747, 
152, 2110, 478, 679, 743, 
153, 2099, 480, 669, 737, 
154, 2097, 466, 665, 734, 
155, 2100, 467, 676, 735, 
156, 2107, 472, 668, 745, 
157, 2102, 483, 674, 741, 
158, 2108, 471, 682, 733, 
159, 2090, 480, 670, 733, 
160, 2110, 483, 672, 740, 
161, 2094, 469, 675, 747, 
162, 2103, 480, 679, 738, 
163, 2100, 484, 673, 741, 
164, 2100, 475, 676, 741, 
165, 2107, 475, 671, 734, 
166, 2098, 472, 673, 748, 
167, 2092, 485, 667, 742, 
168, 2100, 483, 673, 732, 
169, 2103, 483, 669, 748, 
170, 2107, 468, 665, 749, 
171, 2106, 472, 676, 742, 
172, 2095, 475, 670, 739, 
173, 2098, 482, 676, 743, 
174, 2108, 481, 676, 749, 
175, 2105, 465, 666, 748, 
176, 2108, 477, 683, 744, 
177, 2101, 484, 681, 733, 
178, 2108, 476, 684, 748, 
179, 2093, 466, 665, 745, 
180, 2100, 474, 685, 740, 
181, 2107, 481, 670, 742, 
182, 2091, 470, 682, 743, 
183, 2104, 466, 672, 741, 
184, 2092, 478, 669, 747, 
185, 2098, 470, 678, 740, 
186, 2109, 467, 668, 730, 
187, 2095, 475, 671, 742, 
188, 2098, 465, 678, 744, 
189, 2105, 468, 683, 737, 
190, 2094, 473, 683, 741, 
191, 2109, 480, 682, 730, 
192, 2097, 466, 668, 746, 
193, 2099, 482, 671, 744, 
194, 2108, 478, 673, 746, 
195, 2104, 471, 677, 741, 
196, 2091, 469, 685, 738, 
197, 2109, 480, 672, 736, 
198, 2099, 480, 671, 750, 
199, 2099, 477, 668, 748, 
