nbElements: 200
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
88, 2090, 478, 683, 740, 
89, 2092, 476, 672, 744, 
90, 2094, 477, 665, 749, 
91, 2110, 481, 668, 748, 
92, 2097, 476, 665, 740, 
93, 2094, 469, 685, 750, 
94, 2092, 480, 674, 739, 
95, 2108, 467, 673, 750, 
96, 2104, 473, 679, 748, 
97, 2095, 474, 666, 732, 
98, 2105, 471, 665, 733, 
99, 2097, 474, 675, 746, 
100, 2100, 472, 684, 733, 
101, 2091, 472, 677, 732, 
102, 2107, 479, 674, 747, 
103, 2103, 466, 677, 739, 
104, 2107, 479, 680, 733, 
105, 2101, 475, 677, 730, 
106, 2094, 477, 669, 750, 
107, 2091, 482, 678, 748, 
108, 2110, 470, 667, 745, 
109, 2104, 476, 668, 747, 
110, 2110, 481, 682, 733, 
111, 2110, 473, 670, 739, 
112, 2109, 469, 678, 748, 
113, 2101, 478, 667, 748, 
114, 2094, 481, 675, 748, 
115, 2110, 477, 673, 748, 
116, 2110, 481, 666, 748, 
117, 2099, 468, 684, 732, 
118, 2110, 470, 674, 731, 
119, 2108, 477, 684, 734, 
120, 2095, 482, 676, 734, 
121, 2104, 473, 678, 738, 
122, 2096, 469, 684, 741, 
123, 2106, 475, 685, 737, 
124, 2108, 472, 684, 743, 
125, 2097, 477, 680, 741, 
126, 2093, 465, 669, 747, 
127, 2101, 470, 673, 730, 
128, 2103, 475, 665, 733, 
129, 2095, 466, 683, 738, 
130, 2093, 469, 683, 733, 
131, 2103, 466, 671, 738, 
132, 2092, 480, 681, 743, 
133, 2105, 470, 665, 733, 
134, 2100, 478, 669, 741, 
135, 2104, 469, 666, 733, 
136, 2096, 480, 667, 733, 
137, 2103, 475, 685, 743, 
138, 2106, 467, 668, 733, 
139, 2105, 485, 665, 744, 
140, 2104, 476, 677, 750, 
141, 2106, 465, 677, 745, 
142, 2100, 481, 675, 738, 
143, 2106, 477, 674, 747, 
144, 2097, 477, 685, 731, 
145, 2095, 483, 666, 732, 
146, 2099, 471, 673, 748, 
147, 2090, 473, 678, 731, 
148, 2093, 470, 684, 735, 
149, 2092, 471, 670, 747, 
150, 2099, 477, 679, 745, 
151, 2099, 477, 685, 730, 
152, 2109, 483, 684, 734, 
153, 2093, 476, 682, 744, 
154, 2103, 472, 684, 750, 
155, 2093, 483, 681, 741, 
156, 2110, 485, 677, 746, 
157, 2098, 468, 665, 733, 
158, 2094, 483, 665, 732, 
159, 2098, 476, 682, 750, 
160, 2092, 477, 682, 741, 
161, 2105, 483, 683, 746, 
162, 2092, 484, 676, 731, 
163, 2108, 471, 682, 735, 
164, 2094, 471, 668, 748, 
165, 2102, 483, 684, 738, 
166, 2101, 478, 680, 733, 
167, 2106, 483, 681, 743, 
168, 2101, 478, 673, 750, 
169, 2105, 474, 681, 734, 
170, 2096, 468, 672, 750, 
171, 2110, 482, 670, 746, 
172, 2100, 483, 679, 750, 
173, 2093, 473, 677, 745, 
174, 2091, 473, 685, 737, 
175, 2093, 476, 681, 750, 
176, 2106, 480, 678, 750, 
177, 2106, 479, 685, 747, 
178, 2100, 476, 671, 745, 
179, 2101, 482, 685, 730, 
180, 2102, 476, 678, 737, 
181, 2103, 472, 672, 740, 
182, 2100, 466, 678, 750, 
183, 2092, 474, 671, 737, 
184, 2091, 483, 673, 743, 
185, 2101, 467, 675, 738, 
186, 2097, 467, 669, 737, 
187, 2096, 469, 668, 741, 
188, 2094, 472, 684, 737, 
189, 2107, 481, 666, 742, 
190, 2110, 479, 679, 748, 
191, 2093, 468, 678, 742, 
192, 2099, 468, 676, 739, 
193, 2106, 480, 685, 732, 
194, 2102, 475, 673, 749, 
195, 2098, 474, 674, 741, 
196, 2096, 468, 668, 735, 
197, 2106, 476, 679, 748, 
198, 2095, 474, 684, 746, 
199, 2108, 466, 670, 748, 
