nbElements: 200
index, hauteurTotale, largeurTotale, hauteurInterGondsGauche, hauteurGondSommetGauche, hauteurInterGondsDroite, hauteurGondSommetDroite, 
184, 2114, 1476, 652, 499, 679, 467, 
185, 2098, 1495, 681, 481, 652, 488, 
186, 2107, 1486, 684, 480, 674, 490, 
187, 2101, 1485, 678, 474, 661, 495, 
188, 2112, 1492, 693, 468, 671, 469, 
189, 2110, 1484, 676, 477, 688, 483, 
190, 2115, 1492, 686, 484, 671, 484, 
191, 2106, 1495, 680, 470, 665, 474, 
192, 2103, 1484, 659, 502, 686, 485, 
193, 2108, 1481, 686, 467, 660, 489, 
194, 2099, 1481, 680, 477, 691, 472, 
195, 2100, 1479, 678, 471, 682, 470, 
196, 2108, 1485, 656, 494, 687, 482, 
197, 2104, 1487, 686, 465, 662, 495, 
198, 2109, 1496, 683, 470, 675, 488, 
199, 2110, 1497, 688, 471, 653, 488, 
